Start Time (AEST),Duration,Desc,Hosts,Speaker Name,Talk Title,Geo,Notes,Time (San Francisco),Time (London)
"Thu, 20 Aug 2020 14:00",0:02,Welcome to country,"Peter, Simon",,,,,"Wed, 19 Aug 2020 21:00","Thu, 20 Aug 2020 05:00"
"Thu, 20 Aug 2020 14:02",0:08,Welcome to conference,"Peter, Simon",,,,,"Wed, 19 Aug 2020 21:02","Thu, 20 Aug 2020 05:02"
"Thu, 20 Aug 2020 14:10",0:40,Keynote,"Peter, Simon",Zhamak Dehghani,Introduction to Data Mesh: A Paradigm Shift in Data Platform Architecture,San Fran,1st TW speaker,"Wed, 19 Aug 2020 21:10","Thu, 20 Aug 2020 05:10"
"Thu, 20 Aug 2020 14:50",0:30,Speaker 1,"Francisco, Leo",Charles Feddersen,Developing end-to-end analytics solutions with the latest Azure Synapse features,Seattle,Speaker needs to speek on this day (Seattle),"Wed, 19 Aug 2020 21:50","Thu, 20 Aug 2020 05:50"
"Thu, 20 Aug 2020 15:20",0:30,Speaker 2,"Francisco, Leo",Dom Colyer,Building a Code Generated Data Platform,,Sponsor,"Wed, 19 Aug 2020 22:20","Thu, 20 Aug 2020 06:20"
"Thu, 20 Aug 2020 15:50",0:30,Speaker 3,"Francisco, Leo",Vidya Venugopal,Ever changing data model - Schema management for the future,,,"Wed, 19 Aug 2020 22:50","Thu, 20 Aug 2020 06:50"
"Thu, 20 Aug 2020 16:20",0:30,Speaker 4,"Katie, Noel",Louis Lee,Snowflake Cloud Data Platform - Building a Governed Data Lake,,Sponsor,"Wed, 19 Aug 2020 23:20","Thu, 20 Aug 2020 07:20"
"Thu, 20 Aug 2020 16:50",0:30,Speaker 5,"Katie, Noel",Mike Gouline,Data Team as an Optimisation Problem,,,"Wed, 19 Aug 2020 23:50","Thu, 20 Aug 2020 07:50"
"Thu, 20 Aug 2020 17:20",0:30,Speaker 6,"Katie, Noel",Yana Segal,Automating ML pipelines with Kubernetes and Airflow,Israel,,"Thu, 20 Aug 2020 00:20","Thu, 20 Aug 2020 08:20"
"Thu, 20 Aug 2020 17:50",0:30,Speaker 7,"Leo, Harmeet",Marta Paes Moreira,Change Data Capture with Flink SQL and Debezium,Berlin,,"Thu, 20 Aug 2020 00:50","Thu, 20 Aug 2020 08:50"
"Thu, 20 Aug 2020 18:20",0:30,Speaker 8,"Leo, Harmeet",Robbin Moffatt,ðŸ¤–Building a Telegram bot with Apache Kafka and ksqlDB,UK,Sponsor & Speaker needs to speek on this day (UK),"Thu, 20 Aug 2020 01:20","Thu, 20 Aug 2020 09:20"
"Thu, 20 Aug 2020 18:50",0:10,Wrap up,"Peter, Simon",,,,,"Thu, 20 Aug 2020 01:50","Thu, 20 Aug 2020 09:50"
"Thu, 20 Aug 2020 19:00",,Close,,,,,,"Thu, 20 Aug 2020 02:00","Thu, 20 Aug 2020 10:00"
,,,,,,,,,
"Fri, 21 Aug 2020 09:00",0:02,Welcome to country,"Noel, Katie",,,,,"Thu, 20 Aug 2020 16:00","Fri, 21 Aug 2020 00:00"
"Fri, 21 Aug 2020 09:02",0:08,Welcome to conference,"Noel, Katie",,,,,"Thu, 20 Aug 2020 16:02","Fri, 21 Aug 2020 00:02"
"Fri, 21 Aug 2020 09:10",0:40,Keynote,"Noel, Katie",Gian Merlino,Some Like It Hot,Bay Area,,"Thu, 20 Aug 2020 16:10","Fri, 21 Aug 2020 00:10"
"Fri, 21 Aug 2020 09:50",0:30,Speaker 9,"Karen, Peter",Caito Scherr,Sweet Streams are Made of These: data-driven development in stream processing,"Portland, Oregon",Sponsor,"Thu, 20 Aug 2020 16:50","Fri, 21 Aug 2020 00:50"
"Fri, 21 Aug 2020 10:20",0:30,Speaker 10,"Karen, Peter",Mike Del Balso,Feature Stores,Bay Area,,"Thu, 20 Aug 2020 17:20","Fri, 21 Aug 2020 01:20"
"Fri, 21 Aug 2020 10:50",0:30,Speaker 11,"Karen, Peter",Joel Roland,ETL and Data Ingestion Made Easy,,Sponsor,"Thu, 20 Aug 2020 17:50","Fri, 21 Aug 2020 01:50"
"Fri, 21 Aug 2020 11:20",0:30,Speaker 12,"Francisco, Harmeet",Sam Harley,How MongoDB Enables Real-Time Data with Event-Driven Architecture,,Sponsor,"Thu, 20 Aug 2020 18:20","Fri, 21 Aug 2020 02:20"
"Fri, 21 Aug 2020 11:50",0:30,Speaker 13,"Francisco, Harmeet",Larene Le Gassick,Inclusive Storytelling with Data,,,"Thu, 20 Aug 2020 18:50","Fri, 21 Aug 2020 02:50"
"Fri, 21 Aug 2020 12:20",0:30,Speaker 14,"Francisco, Harmeet",Aiko Klostermann,Artificial Intelligence? - more like Artificial Stupidity!,Singapore,2nd TW speaker,"Thu, 20 Aug 2020 19:20","Fri, 21 Aug 2020 03:20"
"Fri, 21 Aug 2020 12:50",0:30,Speaker 15,"Karen, Noel",Atif Shaikh,Enabling HTAP capabilities in your existing data platform(s),,,"Thu, 20 Aug 2020 19:50","Fri, 21 Aug 2020 03:50"
"Fri, 21 Aug 2020 13:20",0:30,Speaker 16,"Karen, Noel",Kerry McRae,Building data integration services for real-time on AWS,,Sponsor,"Thu, 20 Aug 2020 20:20","Fri, 21 Aug 2020 04:20"
"Fri, 21 Aug 2020 13:50",0:10,Wrap up,Peter,,,,,"Thu, 20 Aug 2020 20:50","Fri, 21 Aug 2020 04:50"
"Fri, 21 Aug 2020 14:00",,Close,,,,,,"Thu, 20 Aug 2020 21:00","Fri, 21 Aug 2020 05:00"